stock_code,stock_name,as_of_date
002595,豪迈科技,2026-04-24
002603,以岭药业,2026-04-24
002607,中公教育,2026-04-24
002608,江苏国信,2026-04-24
002624,完美世界,2026-04-24
002670,国盛证券,2026-04-24
002673,西部证券,2026-04-24
002683,广东宏大,2026-04-24
002738,中矿资源,2026-04-24
002739,儒意电影,2026-04-24
002756,永兴材料,2026-04-24
002773,康弘药业,2026-04-24
002797,第一创业,2026-04-24
002821,凯莱英,2026-04-24
002831,裕同科技,2026-04-24
002837,英维克,2026-04-24
002841,视源股份,2026-04-24
002850,科达利,2026-04-24
002851,麦格米特,2026-04-24
002926,华西证券,2026-04-24
002939,长城证券,2026-04-24
002945,华林证券,2026-04-24
002958,青农商行,2026-04-24
002966,苏州银行,2026-04-24
002984,森麒麟,2026-04-24
003021,兆威机电,2026-04-24
003022,联泓新科,2026-04-24
003031,中瓷电子,2026-04-24
003035,南网能源,2026-04-24
300001,特锐德,2026-04-24
300002,神州泰岳,2026-04-24
300003,乐普医疗,2026-04-24
300012,华测检测,2026-04-24
300017,网宿科技,2026-04-24
300024,机器人,2026-04-24
300037,新宙邦,2026-04-24
300054,鼎龙股份,2026-04-24
300058,蓝色光标,2026-04-24
300070,碧水源,2026-04-24
300073,当升科技,2026-04-24
300100,双林股份,2026-04-24
300115,长盈精密,2026-04-24
300136,信维通信,2026-04-24
300140,节能环境,2026-04-24
300142,沃森生物,2026-04-24
300144,宋城演艺,2026-04-24
300146,汤臣倍健,2026-04-24
300207,欣旺达,2026-04-24
300223,北京君正,2026-04-24
300285,国瓷材料,2026-04-24
300339,润和软件,2026-04-24
300346,南大光电,2026-04-24
300373,扬杰科技,2026-04-24
300383,光环新网,2026-04-24
300390,天华新能,2026-04-24
300395,菲利华,2026-04-24
300432,富临精工,2026-04-24
300450,先导智能,2026-04-24
300454,深信服,2026-04-24
300458,全志科技,2026-04-24
300474,景嘉微,2026-04-24
300487,蓝晓科技,2026-04-24
300496,中科创达,2026-04-24
300529,健帆生物,2026-04-24
300558,贝达药业,2026-04-24
300567,精测电子,2026-04-24
300570,太辰光,2026-04-24
300601,康泰生物,2026-04-24
300604,长川科技,2026-04-24
300623,捷捷微电,2026-04-24
300627,华测导航,2026-04-24
300676,华大基因,2026-04-24
300677,英科医疗,2026-04-24
300679,电连技术,2026-04-24
300699,光威复材,2026-04-24
300718,长盛轴承,2026-04-24
300724,捷佳伟创,2026-04-24
300735,光弘科技,2026-04-24
300748,金力永磁,2026-04-24
300751,迈为股份,2026-04-24
300757,罗博特科,2026-04-24
300763,锦浪科技,2026-04-24
300857,协创数据,2026-04-24
300888,稳健医疗,2026-04-24
300919,中伟新材,2026-04-24
300957,贝泰妮,2026-04-24
300972,万辰集团,2026-04-24
301200,大族数控,2026-04-24
301301,川宁生物,2026-04-24
301308,江波龙,2026-04-24
301358,湖南裕能,2026-04-24
301498,乖宝宠物,2026-04-24
301536,星宸科技,2026-04-24
301611,珂玛科技,2026-04-24
600004,白云机场,2026-04-24
600007,中国国贸,2026-04-24
600008,首创环保,2026-04-24
600021,上海电力,2026-04-24
600032,浙江新能,2026-04-24
600038,中直股份,2026-04-24
600060,海信视像,2026-04-24
600062,华润双鹤,2026-04-24
600095,湘财股份,2026-04-24
600096,云天化,2026-04-24
600098,广州发展,2026-04-24
600109,国金证券,2026-04-24
600118,中国卫星,2026-04-24
600126,杭钢股份,2026-04-24
600131,国网信通,2026-04-24
600132,重庆啤酒,2026-04-24
600141,兴发集团,2026-04-24
600143,金发科技,2026-04-24
600153,建发股份,2026-04-24
600157,永泰能源,2026-04-24
600166,福田汽车,2026-04-24
600170,上海建工,2026-04-24
600171,上海贝岭,2026-04-24
600177,雅戈尔,2026-04-24
600208,衢州发展,2026-04-24
600282,南钢股份,2026-04-24
600295,鄂尔多斯,2026-04-24
600298,安琪酵母,2026-04-24
600299,安迪苏,2026-04-24
600312,平高电气,2026-04-24
600316,洪都航空,2026-04-24
600329,达仁堂,2026-04-24
600332,白云山,2026-04-24
600339,中油工程,2026-04-24
600348,华阳股份,2026-04-24
600352,浙江龙盛,2026-04-24
600363,联创光电,2026-04-24
600369,西南证券,2026-04-24
600378,昊华科技,2026-04-24
600380,健康元,2026-04-24
600390,五矿资本,2026-04-24
600392,盛和资源,2026-04-24
600398,海澜之家,2026-04-24
600435,北方导航,2026-04-24
600483,福能股份,2026-04-24
600486,扬农化工,2026-04-24
600487,亨通光电,2026-04-24
600497,驰宏锌锗,2026-04-24
600498,烽火通信,2026-04-24
600499,科达制造,2026-04-24
600511,国药股份,2026-04-24
600516,方大炭素,2026-04-24
600517,国网英大,2026-04-24
600521,华海药业,2026-04-24
600528,中铁工业,2026-04-24
600535,天士力,2026-04-24
600536,中国软件,2026-04-24
600546,山煤国际,2026-04-24
600549,厦门钨业,2026-04-24
600562,国睿科技,2026-04-24
600563,法拉电子,2026-04-24
600566,济川药业,2026-04-24
600578,京能电力,2026-04-24
600580,卧龙电驱,2026-04-24
600582,天地科技,2026-04-24
600583,海油工程,2026-04-24
600598,北大荒,2026-04-24
600601,方正科技,2026-04-24
600602,云赛智联,2026-04-24
600606,绿地控股,2026-04-24
600637,东方明珠,2026-04-24
600642,申能股份,2026-04-24
600655,豫园股份,2026-04-24
600663,陆家嘴,2026-04-24
600673,东阳光,2026-04-24
600685,中船防务,2026-04-24
600688,上海石化,2026-04-24
600699,均胜电子,2026-04-24
600704,物产中大,2026-04-24
600707,彩虹股份,2026-04-24
600720,中交设计,2026-04-24
600737,中粮糖业,2026-04-24
600739,辽宁成大,2026-04-24
600754,锦江酒店,2026-04-24
600763,通策医疗,2026-04-24
600764,中国海防,2026-04-24
600765,中航重机,2026-04-24
600801,华新建材,2026-04-24
600808,马钢股份,2026-04-24
600816,建元信托,2026-04-24
600820,隧道股份,2026-04-24
600848,上海临港,2026-04-24
600862,中航高科,2026-04-24
600863,华能蒙电,2026-04-24
600871,石化油服,2026-04-24
600873,梅花生物,2026-04-24
600879,航天电子,2026-04-24
600884,杉杉股份,2026-04-24
600885,宏发股份,2026-04-24
600901,江苏金租,2026-04-24
600906,财达证券,2026-04-24
600909,华安证券,2026-04-24
600927,永安期货,2026-04-24
600959,江苏有线,2026-04-24
600967,内蒙一机,2026-04-24
600968,海油发展,2026-04-24
600970,中材国际,2026-04-24
600977,中国电影,2026-04-24
600985,淮北矿业,2026-04-24
600988,赤峰黄金,2026-04-24
600995,南网储能,2026-04-24
600998,九州通,2026-04-24
601000,唐山港,2026-04-24
601001,晋控煤业,2026-04-24
601016,节能风电,2026-04-24
601019,山东出版,2026-04-24
601061,中信金属,2026-04-24
601098,中南传媒,2026-04-24
601099,太平洋,2026-04-24
601106,中国一重,2026-04-24
601108,财通证券,2026-04-24
601118,海南橡胶,2026-04-24
601128,常熟银行,2026-04-24
601139,深圳燃气,2026-04-24
601155,新城控股,2026-04-24
601156,东航物流,2026-04-24
601162,天风证券,2026-04-24
601168,西部矿业,2026-04-24
601179,中国西电,2026-04-24
601198,东兴证券,2026-04-24
601212,白银有色,2026-04-24
601216,君正集团,2026-04-24
601228,广州港,2026-04-24
601231,环旭电子,2026-04-24
601233,桐昆股份,2026-04-24
601333,广深铁路,2026-04-24
601399,国机重装,2026-04-24
601555,东吴证券,2026-04-24
601567,三星电气,2026-04-24
601577,长沙银行,2026-04-24
601598,中国外运,2026-04-24
601608,中信重工,2026-04-24
601611,中国核建,2026-04-24
601615,明阳智能,2026-04-24
601665,齐鲁银行,2026-04-24
601666,平煤股份,2026-04-24
601696,中银证券,2026-04-24
601699,潞安环能,2026-04-24
601717,中创智领,2026-04-24
601799,星宇股份,2026-04-24
601865,福莱特,2026-04-24
601866,中远海发,2026-04-24
601880,辽港股份,2026-04-24
601918,新集能源,2026-04-24
601921,浙版传媒,2026-04-24
601928,凤凰传媒,2026-04-24
601958,金钼股份,2026-04-24
601965,中国汽研,2026-04-24
601966,玲珑轮胎,2026-04-24
601990,南京证券,2026-04-24
601991,大唐发电,2026-04-24
601997,贵阳银行,2026-04-24
603000,人民网,2026-04-24
603049,中策橡胶,2026-04-24
603077,和邦生物,2026-04-24
603087,甘李药业,2026-04-24
603129,春风动力,2026-04-24
603156,养元饮品,2026-04-24
603160,汇顶科技,2026-04-24
603179,新泉股份,2026-04-24
603225,新凤鸣,2026-04-24
603228,景旺电子,2026-04-24
603233,大参林,2026-04-24
603290,斯达半导,2026-04-24
603298,杭叉集团,2026-04-24
603338,浙江鼎力,2026-04-24
603341,龙旗科技,2026-04-24
603345,安井食品,2026-04-24
603379,三美股份,2026-04-24
603444,吉比特,2026-04-24
603486,科沃斯,2026-04-24
603529,爱玛科技,2026-04-24
603565,中谷物流,2026-04-24
603568,伟明环保,2026-04-24
603589,口子窖,2026-04-24
603596,伯特利,2026-04-24
603605,珀莱雅,2026-04-24
603606,东方电缆,2026-04-24
603650,彤程新材,2026-04-24
603658,安图生物,2026-04-24
603659,璞泰来,2026-04-24
603688,石英股份,2026-04-24
603699,纽威股份,2026-04-24
603707,健友股份,2026-04-24
603728,鸣志电器,2026-04-24
603737,三棵树,2026-04-24
603766,隆鑫通用,2026-04-24
603786,科博达,2026-04-24
603806,福斯特,2026-04-24
603816,顾家家居,2026-04-24
603833,欧派家居,2026-04-24
603858,步长制药,2026-04-24
603885,吉祥航空,2026-04-24
603899,晨光股份,2026-04-24
603920,世运电路,2026-04-24
603927,中科软,2026-04-24
603939,益丰药房,2026-04-24
603979,金诚信,2026-04-24
605358,立昂微,2026-04-24
605589,圣泉集团,2026-04-24
688002,睿创微纳,2026-04-24
688017,绿的谐波,2026-04-24
688018,乐鑫科技,2026-04-24
688019,安集科技,2026-04-24
688027,国盾量子,2026-04-24
688037,芯源微,2026-04-24
688052,纳芯微,2026-04-24
688065,凯赛生物,2026-04-24
688099,晶晨股份,2026-04-24
688100,威胜信息,2026-04-24
688114,华大智造,2026-04-24
688120,华海清科,2026-04-24
688122,西部超导,2026-04-24
688166,博瑞医药,2026-04-24
688172,燕东微,2026-04-24
688180,君实生物,2026-04-24
688183,生益电子,2026-04-24
688188,柏楚电子,2026-04-24
688192,迪哲医药,2026-04-24
688213,思特威,2026-04-24
688220,翱捷科技,2026-04-24
688234,天岳先进,2026-04-24
688235,百济神州,2026-04-24
688248,南网科技,2026-04-24
688266,泽璟制药,2026-04-24
688278,特宝生物,2026-04-24
688281,华秦科技,2026-04-24
688295,中复神鹰,2026-04-24
688297,中无人机,2026-04-24
688301,奕瑞科技,2026-04-24
688318,财富趋势,2026-04-24
688322,奥比中光,2026-04-24
688336,三生国健,2026-04-24
688347,华虹公司,2026-04-24
688349,三一重能,2026-04-24
688361,中科飞测,2026-04-24
688363,华熙生物,2026-04-24
688375,国博电子,2026-04-24
688385,复旦微电,2026-04-24
688387,信科移动,2026-04-24
688425,铁建重工,2026-04-24
688469,芯联集成,2026-04-24
688475,萤石网络,2026-04-24
688520,神州细胞,2026-04-24
688525,佰维存储,2026-04-24
688538,和辉光电,2026-04-24
688561,奇安信,2026-04-24
688563,航材股份,2026-04-24
688568,中科星图,2026-04-24
688578,艾力斯,2026-04-24
688582,芯动联科,2026-04-24
688599,天合光能,2026-04-24
688608,恒玄科技,2026-04-24
688615,合合信息,2026-04-24
688617,惠泰医疗,2026-04-24
688629,华丰科技,2026-04-24
688676,金盘科技,2026-04-24
688692,达梦数据,2026-04-24
688702,盛科通信,2026-04-24
688709,成都华微,2026-04-24
688728,格科微,2026-04-24
688772,珠海冠宇,2026-04-24
688777,中控技术,2026-04-24
688778,厦钨新能,2026-04-24
688819,天能股份,2026-04-24
